index,audio_path,ground_truth,whisper_transcription
11,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/036_╨ó╨╛╤à_╤é╤ï_╤é╨░╨║╨▓╨╕_╤â╤Ç╨╡_╤é╤ï╨╗.wav,tox ti takw'i ur'eē­təl taw xansiɣlālas.,tum təχti taki urԑtl tawχansi λaλa
12,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/053_╨Ñ╤â╨╝╤ï╤ç_╤é╨░_╨╜╨║╨╕_╨╜╨╛╨╝╤ü╨░╤ü╤ï.wav,"xuməч tānk'i nomsasət, tas''ər wos pōslasət.",χuməsta ăňkԑn nəmsăsăt tăśir wəs posλăsăt
13,data/AudioCorpus/Recordings/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/022_╨É╨╜╤î_╨╝╨░_╨╜╤î_╨╝╨╕╤ü╤à╤â╨╝_╤é╨░_.wav,"an' mān' m'isxum ta n'ajān' tēm, tāra takw'ite ta mostumte.",an' măň misχum tănjan'tԑm tăra tak witi tăm mostumti
14,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/011_╨í╨░_╤é_╤à╤â╨╝_.wav,sāt xum.,sătχəm
15,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/002_╨»╨╜╤ï╨│_╤à╨╛_╨╜╤é_╨▓╨░_╤Ç╨╝╨░╨╗╤î_.wav,janəɣ xōnt wārmal' oiɣpam'ee pāsəl n'ojolsāt tāləɣ ēmtəs.,ӑňi χot warmaλ ojipam pasλ njolsant tăλij mtăs
16,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/077_╨ó╨╛_╨▓╨░_╨┐╨╛╤Ç╨░╤é_╨▒╤Ç╨░╤é╤ü╨║╨╕╨╕╠å.wav,tōwa porat бratsk'əj moɣ'ilatən ēmtēɣət.,towa porăt pradski mă­gilătn m­tij
17,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/033_╨₧╤ü_╨Ü╨í╨Ü_╨║╨╛╨╗╤é_╤Ç╤â_╨┐╨╕╤é╨░╨╜.wav,os ksk kolt rūp'itan māxmitən lāwuŋkw ēr'i.,pa skk ăλt rupităn măχmătn λawăňăk e
18,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/094_╨ó╤ï_╤é╤â╨╝╨┐╨░╨╜╤ï╨╗╨╜╤ï╨╗_╤ü╨░_╨╗╤é.wav,ti tumpanilnəl sāltatət l'een'inɣraд ūsanəl wujantasət.,ti tumpăň nlnλ saλtăti tλen'ňgrat usăňăλ wujamtăs
19,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/058_╨Ü╨╛╨╜╤ü╤é╨░╨╜╤é╨╕╨╜_╨ƒ╨░╨╜╨║╨╛╨▓_╤ü╨░.wav,"konstant'ən pankow sāw pōsləs, taw pōsliɣlālam.",kastatjen păň kow sow posλăs tăw posλaj lăλam
20,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/006_╨¥_╤Ç_╨É╨║╨╕_╤é╨░╨▓_╤é╨░╨╕╠å_╤ü╨░╨╝╨╡.wav,"n'ojōr-ak'i taw taj sam'ee posəŋ, xum an' sunsiɣ­laxti.",ӛra ki tawta iśi posăňχəm ăňăn sʉn­sij λăχ
21,data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/029_╨£╨╛_╤Ç╤ü╤ï_╤ï╨│_╨▓╨╛_╤Ç╨╜_╤Å╨╗╨░╨╜.wav,mōrsiŋəɣ wōrn jalantaŋkw patəs.,morsəŋij worn jalantăň pătăs
22,data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/010_╨Ñ_╨╗_╨░╨╗╤ï╤ë╨╗╨░╨╜_╨╝╨░_╤à╤â╨╝_╨║.wav,"xul alis'lan māxum kamkanəl, sāɣlanəl, xulpanəl s''ojōp'itēɣət.",χuλ aλăśλăn maχum kamikanăλ sajλănλ χuλ pănλ śi opi tăjλət
23,data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/031_╨Ü╨░_╤ü╤ï_╤é╨░_╨╗_╨│╨╛╤ü╨┐╤Ç╨╛╨╝╤à╨╛.wav,kāsəŋ tāl ɣospromxoзən puшn'ina majlas.,kaseň tăλ gazfarmχozn pʉnšnina măjλăs
24,data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/031_╨⌐_╨╜╤Å╨│╨╡_╨░_╤ë╨░╨│╨╡_╨║╨╛╨╗_╤é╨░.wav,"s'ān'ajaɣ'ee-ās'aɣ'ee, kol tāɣəl ēlumxōlas pussən sup wārsət.",śănja i aśaja kol tăjλ elmχoλăs pusn sʉp wars
25,data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/019_╨ó╨░╨▓_╨░╨╜╤î_╨┐╤ï╨│╤Ç╨╕╤ë_╨╗╨░_╨▓╨╕.wav,"taw an' piɣr'əs' lāw'i. ak'əm ōjka jāŋkilmat jol-nopum, tox lāwəs.",tăwani pəjraś λawi ăkԑmujk ňkăλman jʉλ nəpum toχ λawăs
26,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/028_╨ó╨░_╤é╤â╨╝╨┐╨░╨╜╤ï╨╗╨╜_╤à╤é╤ï╤ü╤ï╤é_.wav,"ta tumpaniln joxtisət, l'ujūl'ajaxōlēɣət.",tătum pănԑλn joχλəsλe uλja χăλijt
27,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/015_╨í╤â_╨║╤ï╤Ç╤è╤Å_╨┐╨░_╨▓╤ï╨╗_╤ü╨░╨║╨░.wav,sūkirъja pāwəl saka p'eēs tāɣəl ōlne pāwəl.,sukr ja pawλ săka pԑstăλ oλnăpawnλ
28,data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/001_╨Æ╨╛_╤Ç╨░╤Å╨╜_╤ì_╨║╨▓╨░_.wav,wōrajan ēkwa,worajen ԑka
29,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/058_╨É╨╜╤î_╨╝╤â╤ü_╨╕_╨╗╤Ä_╨╗╨╡_╨│╤ï╤é_.wav,an' mus iŋ l'ujūl'eēɣət.,an' muz iň λʉwλijt
30,data/AudioCorpus/Recordings/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/021_╨ó╤â╨▓╤ï╨╗_╨░_╨╗╨┐╤ï╨╗_╨┐╤ï╨│╨╡_╤é╨░.wav,tuwəl ālpəl piɣ'ee taml'ee n'ajān'əl tit­tumte.,tʉwλ aλpaλ pʉja tămλen' anəλ tĭtəm
31,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/030_╨₧╤ü_╨░╨║╨╕╤é╤ì_╨ƒ_╤é╤Ç_╨ó╨╕╨╝╨╛╤ä╨╡.wav,os ak'ite p'ojotr t'imoф'eeew'əч ost'eerow xur'iəɣ ōn's'as.,as ă­kite pԑtrtima λwewăt ostĭrn χurijuw ăn'śăs
32,data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/003_╨É╨║╨▓╨╝╨░╤é_╤ü╤â╨╜╤ü╤ï_╨░╨╝╨░╨╜╤ï╤Ç_.wav,akwmat sunsi: amanir­sər ut ti wōpsiti man matar'i.,ak mătsunsi amăňrsij rʉt tiw opset i măňmătari
33,data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/038_╨É╨║╨▓╨░╨│_╤é╨░_╨░╤ë╨╕╤Ç_╨╝╨░_╨░╨║╨▓.wav,"akwaɣ ta as''ir­maŋ, akwaɣ ta as''irmaŋ.",akojta aśirman akojta aśirman
34,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/071_╨É╨╝_╨Æ╤ï╨▒╨╛╤Ç╨│_╤â_╤ü_╨╗╤Å╨┐╨░╤é_.wav,am wiбorɣ ūs l'ajapat ōlēɣum.,am wipar kəsλja păt oλijw
35,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/046_╨¡_╨╗╤â╨╝╤à╨╛_╨╗╨░╤ü_╤à╤â╤Ç╨╕╨┐╨░╤é_.wav,ēlumxōlas xur'ipat.,ԑλam χăλas χuripăt
36,data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/034_╨É╨╝╨░╨╜_╨╛_╤ü_╤é╤â╨▓_╤Å╨╗╨░╨╜╤é╨░╤ü.wav,"aman ōs tuw jalantas, aman at jalantas, takw'i wāɣte.",amăň ostiw lantăs amăň atjaλantăs takwi wajti
37,data/AudioCorpus/Recordings/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/042_╨₧╨╝╨░╨▓_╨░╤é_╨┐╨╛╤é╤ï╤Ç╤é╨░╤ü_╤ü╤â╨┐.wav,"omaw at potirtas, supn'eēlm tāl ōləs.",ӛmw at potar­tăs sup njawam tăλ oλăs
38,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/032_╨Ñ╨╛_╨╜╤é╨░_╨╝╨░_╨╜╤î╤ë╨╕_╤ì_╨║╨▓╨░.wav,xōntaŋ mān's''i ēkwa anna m'itroфanowna kon'kowa xansum mōjtane n'ajāwramət jot low'in'tēw os sussiltēw.,χən tăň măn' śi eka ănna mitrafanăňa kăňkowa χăntsum mojtăňăn njawrԑmăt j oλ λə­wi­ňtew os suλtijewa
39,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/076_╨í╨░_╨▓╤ü╤ï╤Ç_╨┐╨░_╨▓╨╗╤ï╤é_╤à╨╛_╨╜.wav,"sāwsər pāwlət xōntum p'eēs pormasət, nēpakət muз'eejn totsane.",sa wsr pawλăt χontum pԑs pormăsit nԑpăk at muzjn tətsăňăn
40,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/007_╨ó╤â╨▓╤ï╨╗_╤é╤ï_╨║╨╛╨╗_╨┐╨░_╨▓╨╗╤â╨▓.wav,tuwəl ti kol pāwluwt ōlne muз'eej jot akwan-totw'eesə̄ɣ.,tʉwλti kol pawu­tolni muzj jot okwantot wisij
41,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/071_╨Ü╨╛╨╜╨┤╨╕╨╜╤ü╨║╨╕╨╕╠å_╨┐╨░_╨▓╤ï╨╗_╨╗╤Å.wav,konд'insk'əj pāwəl l'ajapat ūnlən mān's''i pāwlət xan'is'tēw.,kondinskij pawrλa păt oonλn măn'śi pawλit χănnśtw
42,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/093_╨¥╤Å_╨▓╤Ç╨░╨╝╤ï╤é_╤à╨░╨╜╨╕╤ë╤é╨░╨╜_╤à.wav,"n'ajāwramət xan'is'tan xōtpat, l'eēkkarət os sāw mōt ērne rūpata wārne s''eēm'jat urəl tit potirtasūw.",jawrԑm t χăn­nśλăn χot pa λ­k­kărt osaw mot r­nij rupăta warna śԑmjat uraλt ĭtn putărtăsʉw
43,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/086_╨ó╨░_╨╜╨║╨╕_╤à╨░╨╜╤ü╤â╨╝_╨┐╨╛╤é╤Ç╨░╨╜.wav,tānk'i xansum potranəl ōs tit low'in'tasət.,taňki χăn­sum putrăňa ostĭt λə­wiň tăs
44,data/AudioCorpus/Recordings/mns_3696732f-c891-4e0b-b306-3aa88f4c3d23/035_╨⌐╤â╤Ç╤é_╨╝╨╕╨╗_╤é╨░╨┐╨░╨╗╨╜_╨╗_╤Ç╨░.wav,s'urt­m'əl tapaln jol-raɣatas.,mit mitapaλn jowra japăn
45,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/034_╨í╨░_╨╗╤ï_╨╗╤Å╨┐╨░╤é_╨░╨║╨▓╨░╨│_╤Ç╨░.wav,sā­li l'ajapat akwaɣ ras' os tul­max jalasasēɣ.,săλňaλe pa takoj raś ŏs turməχ λəλăsăsi
46,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/011_╨₧╤ü_╤à╨╛_╨╜╤é_╨╗╤ï╨╜_╤ü╨╛_╨╗╤é╨░╤é.wav,os xōnt­lən sōltatət māɣəs usmat tujuŋkw'ee wujxatsət.,kəs χonλtən soldatăt măjsəλ usmăt tʉjňk wujχăt asăt
47,data/AudioCorpus/Recordings/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/005_╨ó╤ï_╤ü╤â╤ü╤ü╤ï╨╗╤é╨░╨┐_╤â╤ë_╤Ç_╨┐╨╕.wav,"ti sussiltap us' ru­p'itaŋkw'ee ōwiltaxtam'ee porat, tuw us m'ər koni­pal.",ti λuλ suλtəp χuś rʉpitəŋ χwi owəλtaχtəmi purat tʉw ʉs mərkən ipl
48,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/016_╨ó_╨╕╠å╤é╤ï╨│_╨╗╨░╤à╤é╤ï╨╜_╤à_╨╗╨┐╤ï╤é.wav,tujtiɣ­laxtən xulpət xōntlan mān k'eētijanuw.,tujtiλărtăň χʉλ pit χənλăň măňkijet iannow
49,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/020_╨ó_╤Å╨│_╨░╨╝_╨Ñ╨░╨╜╤é╤ï_╨£╨░╨╜╤ü╨╕╨╕╠å.wav,tujaɣ am xanti-mans'ijsk usn tōrum mā muз'eej jalsum.,toja am χănti măsisk oλăňăn muzjn təru ma jasλsum
50,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/013_╨ó╨░_╨╜_╨╝╤â╨╖╨╡╨╕╠å╨╜_╨╛_╤ü_╤à╤é╨░╨╗.wav,"tān muз'eejn ōs joxtalē­ɣət, mān xanti māxum p'eēs ōlupsaw urəl tānaniln potirtēw.",tăn muzjn u sl joχ tăλijt măň χănti ma χum pԑs oλupsa wəraλ tănanăλ putrătew
51,data/AudioCorpus/Recordings/mns_440666bf-3a02-40d8-818c-99f6e67f3573/058_╨í╨░_╨▓╤ü╤ï╤Ç_╨┐╨╛╤ç_╤é╨╜╤ï╨╕╠å_╨│╤Ç╨░.wav,sāwsər poч'ojotnəj ɣramotal os janitlan p'is'mal majw'ees.,sa wsər pojotnij ňgramătλ os ňitλəŋ piśmaλ ma wԑs
52,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/009_╨Ñ╨╛_╨╜╤é╨░_╤Ç╨░╨╕╠å╨╛╨╜_╨ƒ╨╛╨╗╨╛╨▓╨╕╨╜.wav,xōntaŋ rajon polow'inka pāwilt taml'ee xōtpat ōs ōlēɣət.,χontaň rajon poli winka pălət amλi χot pa os oλijt
53,data/AudioCorpus/Recordings/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/062_╨¥╨░╨┤╨╡╨╢╨┤╨░_╨Ü╤â╨╖╤î╨╝╨╕╨╜╨╕╤ç╨╜╨░_.wav,"naд'eeждa kuз'm'in'iчna lāwəs, taw janiɣmam'ee porat шajtanka pāwilt sāwsər m'ər ōləs.",nadžda kul'minično λawăstaw nԑmԑm pərăt šta i tanka pălăt sow sirmԑλ oλăs
54,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/014__╨╜╨│╨╕╨╗╤ï╨╗_╨╜_╨│╤ï╨╗╤é╤ï╤Å╨╜_╨▓_.wav,"jonɣ'iləl jon­ɣiltijanuw, sossa m'irət s''irəl kasuŋkw'ee xan'is'­tijanuw.",jon­găλ jontwil­ti nʉw səsăň mirăt śirn kăsuňk i χănśti nʉw
55,data/AudioCorpus/Recordings/mns_3696732f-c891-4e0b-b306-3aa88f4c3d23/044_╨£╨░_╨╜╤î_╤ü╨░_╨╗╤ï_╨┐╤â╨▓╤â_╨║╨▓╨╡.wav,"mān' sāli puwuŋkw'ee taŋx'eē­ɣət k'ee, tin's'aŋ n'ojololow lākw sāw'itəɣ sōxtuŋkw'ee ēr'i.",măn' saλəw puχəm ki tăňχijt ki tinśăň njoλəw lakəs awiti səχtəŋki i
56,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/047_╨É╨║╨▓_╨╝╨╛_╨╕╠å╤é_╤ü╤â╤ü╤ü╤ï╨╗╤é╨░╨╜_.wav,akw mōjt sussiltan māɣsəl os norkol pōslisūw.,ak mojt suλtăn măjtsəs os nor kol posλəs
57,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/008_╨É╨╝_╨£╨░╨╗╨░╤Å_╨í╨╛╤ü╤î╨▓╨░_╨╜╨░╨╝╨┐.wav,am «malaja sos'wa» nampa зapow'eeдn'ikət mā-w'ət urɣalan xōtpaɣ naliman nupəl at tāl rup'itasum.,ămmăλaja sośwa nԑm păsa pa wnjkăt ma wit urwԑλn χot pa nԑmăn nəpaλa tăλ rəpităsum
58,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/018_╨ó╨░_╨┐╨╛╤Ç╨░╤é_╨┐╨╕╤é╨╛╨╝╨╜╨╕╨║╤ï╨│_.wav,ta porat p'itomn'ikəɣ lāw­ne kol ōləs.,ta porăt pitomnik i λamnij kol oλăs
59,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/026_╨ƒ╨╡_╤ü_╨┐╨╛╤Ç╨░╤é_╨╝╨░_╤à╤â╨╝_╤é╨░.wav,p'eēs porat māxum taml'ee xansat ūrɣalaxtən māɣsəl jūntsanəl os s'urtsanəl.,pԑs porăt ma χum tăm λiχăntset ur­galăχtan măjsəλ junt­săňăλ os śur­săňăn
60,data/AudioCorpus/Recordings/mns_440666bf-3a02-40d8-818c-99f6e67f3573/044_╨ƒ╤ï╨│╨╡_╨░╨║╨▓╨░╨│_╤Ä╨▓_╤é╨░_╤â_╤Ç.wav,piɣ'ee akwaɣ juw ta ūriste.,pʉň jakə juta urəsti
61,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/018_╨í╨╛╨▓_╤à╤â╨╝╤â╤ü_╤é╤ï╨╜╤é╨╗╨░_╨║╨▓╨╡.wav,"sow xumus tintlaŋkw'ee ēr'i, mānawn sussiltas.",săλi sowχuməs tinλăňk wԑri mănԑm sʉsəλtăs
62,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/035_╨Ñ╨╛_╤é╨░╨╗_╤ì_╤é╨┐╨╛╤ü_╤ü╤ì_╤Ç╨╕╨┐.wav,"xōtal, ētpos, sēr'iposət pōslisət.",ota λt păsarija păs posλňăs
63,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/058_╨í╨░_╨╗╤é╨░╤é╤ï╤é_╤é╤ï_╤é╨╛_╤ü╨╗╤ï╨╝.wav,sāltatət ti tōsləm tēnutən isum w'ət sōs'eēɣət os tāra ism'ət tēŋkw'ee w'eērm'eēɣət.,saltatiti təsλam tԑňutn isum wt sośjajt wəs tara jis mit tԑňkaj wԑrmijt
64,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/033_╨Ü╨╡_╤Ç_╨┐╨░_╨╜╨║╨░╨╜_╨┐╨░╤Ç╨░_╤ä╨╕.wav,"k'eēr pānkan para­ф'ən sōsēɣ, taml'ee isw'ees'ka xosa tēɣ.",kԑr pankam părafin səsijt tăm lis wԑt'ka χosătij
65,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/028_╨ó╤ï_╤ì_╨╗╤ï_╨┐╨░_╨╗╤é_╤é╨░╨╝╨╗╨╡_.wav,ti ēli-pālt taml'ee uj «malaja sos'wa» māt s'ar at wās''in'tasuw.,tλi păλtămλi uj măλaja soj­somăt śărăt maśintăsəw
66,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/023_╨ƒ╨╡_╤ü_╨┐╨╛╤Ç╨░╤é_╤é╨░╨╝╨╗╨╡_╤â╤é_.wav,p'eēs porat taml'ee ut tromaɣan māt ōlne xanti ōs'sət.,pԑs purăt tămλi ut trăma kan mătolnə χănti wośsăt
67,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/024_╨ó╨░_╨╜_╨£╨░_╨╜╤î_╨ó╨░_╨│╤é_╤Å_╤é.wav,"tān mān' tāɣt jāt, konдa jāt os ess jāt ōlēɣət.",tăň măntaktja kontajat ost ԑsjat uλijt
68,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/061_╨ó╨╛_╨╜╤é_╤é╨╛╤é_╨╛╤é_╨║╨░╨╝╨║╨╕_╨┤.wav,tōnt tot ot kamk'i дo kamakana nampa mujlən xōtal ōləs.,tont at kam kiλa kămakănana pa mʉλi χota λəλăs
69,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/011_╨ó╤ï_╤é╨░_╨╗_╨┐╨░_╨▓╨╗╤ï_╨░_╨│╨╕╤Ç.wav,ti tāl pāwləŋ āɣ'ir'is''ət om piɣr'is''ət ur'inēkwa xōtal os wors''ək xōtal janitlaŋkw'ee wōwiɣlasa­nuw.,ti tăλ pawλăňăj ri śităs pijriśit wʉrin eka χotăλ os worśak χotăλ janitλaňkw wə­wgλăsԑm
70,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/063_╨₧╤ü_╤é╤ï_╤à╨╛╤ü╤ï╤é_╨Ñ╨╛_╨╜_╤é╨░_.wav,os ti xosət xōn­taŋ rajon janitəl jalasēɣət.,osti χəsit χontăň rajon nԑňi təw lăsijt
71,data/AudioCorpus/Recordings/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/065_╨Ñ╨░╨╜╤é╤ï_╨╜╤ì_╤ë╨░_╨╜╤î_╨╗╨░_╤é_.wav,xanti nē s'ān' lātŋe ōs at wāɣte.,χănti nijaśań λat­mija oλsăt wajti
72,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/053_╨ƒ╨░╨▓╨╡╨╗_╨Ü╨╕╤Ç╨╕╨╗╨╗╨╛╨▓╨╕╤ç_╨▓╨╛_.wav,paw'eel k'ir'illow'əч wōr tāl ōluŋkw'ee s'ar at wērm'i.,pa wɵň kirilowicz wort aλ oλəŋ ki śărăt wԑrti
73,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/009_╨É╨╜╤î_╨║╤â_╤ë╨░╨╕╨│_╤é╨╛╤é_╨É╨╗╨╡╨║.wav,an' kūs'aəɣ tot al'eeksanдra wlaд'im'irowna eф'imowa ōli.,an' kʉśij tət alksandra ladimiran năjw imola omi
74,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/043_╨ƒ╨╡_╤ü_╨┐╨╛╤Ç╨░╤é_╤é╨╛╤à_╨╛_╨╗╤ï╤ü.wav,p'eēs porat tox ōləs.,pԑspărăt tăχ oλăs
