index,audio_path,ground_truth,whisper_transcription
22,data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/010_╨Ñ_╨╗_╨░╨╗╤ï╤ë╨╗╨░╨╜_╨╝╨░_╤à╤â╨╝_╨║.wav,"Хӯл алыщлан ма̄хум камканыл, са̄гланыл, хӯлпаныл щё̄питэ̄гыт. ","Koolālislanā kum kamukanl, sailānul hulpanulši apiteikt."
23,data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/031_╨Ü╨░_╤ü╤ï_╤é╨░_╨╗_╨│╨╛╤ü╨┐╤Ç╨╛╨╝╤à╨╛.wav,Ка̄сыӈ та̄л госпромхозын пушнина майлас.  ,"Kasintal, kas promkoznu pūšņi nami ilas?"
24,data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/031_╨⌐_╨╜╤Å╨│╨╡_╨░_╤ë╨░╨│╨╡_╨║╨╛╨╗_╤é╨░.wav,"Щāняге-а̄щаге, кол та̄гыл э̄лумхōлас пуссын суп ва̄рсыт.",Šia niejia šie kultai lealpolis pusun supvarsi.
25,data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/019_╨ó╨░╨▓_╨░╨╜╤î_╨┐╤ï╨│╤Ç╨╕╤ë_╨╗╨░_╨▓╨╕.wav,"Тав ань пыгрищ ла̄ви. Аким о̄йка я̄ӈкылмат ёл-нопум, тох ла̄выс.",Tavaňi pyrišlavi. Aki mojki anglomanjulnopum toch lavas.
26,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/028_╨ó╨░_╤é╤â╨╝╨┐╨░╨╜╤ï╨╗╨╜_╤à╤é╤ï╤ü╤ï╤é_.wav,"Та тумпанылн ёхтысыт, лю̄ляхо̄лэ̄гыт.",tátum panul nyok tis lyo ya hale
27,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/015_╨í╤â_╨║╤ï╤Ç╤è╤Å_╨┐╨░_╨▓╤ï╨╗_╤ü╨░╨║╨░.wav,Сӯкыръя па̄выл сака пе̄с та̄гыл о̄лнэ па̄выл.,"sukurie pavl, saka pestail olnipavl."
28,data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/001_╨Æ╨╛_╤Ç╨░╤Å╨╜_╤ì_╨║╨▓╨░_.wav,Во̄раян э̄ква ,Вороян Эква
29,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/058_╨É╨╜╤î_╨╝╤â╤ü_╨╕_╨╗╤Ä_╨╗╨╡_╨│╤ï╤é_.wav,Ань мус иӈ лю̄ле̄гыт.,ein Muss in Ljolie.
30,data/AudioCorpus/Recordings/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/021_╨ó╤â╨▓╤ï╨╗_╨░_╨╗╨┐╤ï╨╗_╨┐╤ï╨│╨╡_╤é╨░.wav,Тувыл а̄лпыл пыге тамле ня̄нил тыт­тумтэ. ,"To lálpil, by je tam věnánil tých tom."
31,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/030_╨₧╤ü_╨░╨║╨╕╤é╤ì_╨ƒ_╤é╤Ç_╨ó╨╕╨╝╨╛╤ä╨╡.wav,Ос акитэ Пётр Тимофеевич Остеров хурииг о̄ньщас.,aki te piotrstima feijvić ostera vhurijig onci.
32,data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/003_╨É╨║╨▓╨╝╨░╤é_╤ü╤â╨╜╤ü╤ï_╨░╨╝╨░╨╜╤ï╤Ç_.wav,Аквмат сунсы: аманыр­сыр ут ты во̄псыты ман матари.,Akmat sunsī. Amanersīrūt tīvo obsatļi man matari.
33,data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/038_╨É╨║╨▓╨░╨│_╤é╨░_╨░╤ë╨╕╤Ç_╨╝╨░_╨░╨║╨▓.wav,"Акваг та ащир­маӈ, акваг та ащирмаӈ.","Acuite ași ireman, acuite ași ireman."
34,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/071_╨É╨╝_╨Æ╤ï╨▒╨╛╤Ç╨│_╤â_╤ü_╨╗╤Å╨┐╨░╤é_.wav,Ам Выборг ӯс ляпат о̄лэ̄гум.,ам выбор кусли под олой.
35,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/046_╨¡_╨╗╤â╨╝╤à╨╛_╨╗╨░╤ü_╤à╤â╤Ç╨╕╨┐╨░╤é_.wav,Э̄лумхо̄лас хурипат.,Ельм холос Гориби.
36,data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/034_╨É╨╝╨░╨╜_╨╛_╤ü_╤é╤â╨▓_╤Å╨╗╨░╨╜╤é╨░╤ü.wav,"Аман о̄с тув ялантас, аман ат ялантас, такви вāгтэ.","Amanostu jālandas, amanat jālandas takvi vaiite."
37,data/AudioCorpus/Recordings/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/042_╨₧╨╝╨░╨▓_╨░╤é_╨┐╨╛╤é╤ï╤Ç╤é╨░╤ü_╤ü╤â╨┐.wav,"Омав ат потыртас, супне̄лм та̄л о̄лыс.",Omau atpotritas subnėjom taulas.
38,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/032_╨Ñ╨╛_╨╜╤é╨░_╨╝╨░_╨╜╤î╤ë╨╕_╤ì_╨║╨▓╨░.wav,Хо̄нтаӈ ма̄ньщи э̄ква Анна Митрофановна Конькова хансум мо̄йтанэ ня̄врамыт ёт ловиньтэ̄в ос суссылтэ̄в.,"Kontak man čiaigu, Anna Mitrafanan na kankovo, hansumojtane, niavramak jatlojvintyv, osusiltėv."
39,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/076_╨í╨░_╨▓╤ü╤ï╤Ç_╨┐╨░_╨▓╨╗╤ï╤é_╤à╨╛_╨╜.wav,"Са̄всыр па̄влыт хо̄нтум пе̄с пормасыт, нэ̄пакыт музейн тотсанэ.",Sa sarpavlad hontu un bez pormasyt nepak atmuzin tautsane.
40,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/007_╨ó╤â╨▓╤ï╨╗_╤é╤ï_╨║╨╛╨╗_╨┐╨░_╨▓╨╗╤â╨▓.wav,Тувыл ты кол па̄влувт о̄лнэ музей ёт акван-тотвесы̄г.,Tuvol tikol paulotol nemusijot akron tot visai.
41,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/071_╨Ü╨╛╨╜╨┤╨╕╨╜╤ü╨║╨╕╨╕╠å_╨┐╨░_╨▓╤ï╨╗_╨╗╤Å.wav,Кондинский па̄выл ляпат ӯнлын ма̄ньщи па̄влыт ханищтэ̄в.,Kandinski pauį lepat ondlin manči pauį tchaništė.
42,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/093_╨¥╤Å_╨▓╤Ç╨░╨╝╤ï╤é_╤à╨░╨╜╨╕╤ë╤é╨░╨╜_╤à.wav,"Ня̄врамыт ханищтан хо̄тпат, ле̄ккарыт ос са̄в мо̄т э̄рнэ рӯпата ва̄рнэ ще̄мьят урыл тыт потыртасӯв.","Niavrame tchaništą hodpa, lehkarat, osau moternę rūpatavarną, šiemje turą tiet potr tasų."
43,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/086_╨ó╨░_╨╜╨║╨╕_╤à╨░╨╜╤ü╤â╨╝_╨┐╨╛╤é╤Ç╨░╨╜.wav,Та̄нки хансум потраныл о̄с тыт ловиньтасыт.,tánki háncum potrán aosti tló vintas.
44,data/AudioCorpus/Recordings/mns_3696732f-c891-4e0b-b306-3aa88f4c3d23/035_╨⌐╤â╤Ç╤é_╨╝╨╕╨╗_╤é╨░╨┐╨░╨╗╨╜_╨╗_╤Ç╨░.wav,Щурт­мил тапалн ёл-рагатас. ,Чурк мил топал на Евро-Яппу.
45,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/034_╨í╨░_╨╗╤ï_╨╗╤Å╨┐╨░╤é_╨░╨║╨▓╨░╨│_╤Ç╨░.wav,Са̄­лы ляпат акваг рась ос тӯл­мах яласасэ̄г. ,Saalile patako ir aš os tuų marie lašasai.
46,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/011_╨₧╤ü_╤à╨╛_╨╜╤é_╨╗╤ï╨╜_╤ü╨╛_╨╗╤é╨░╤é.wav,Ос хо̄нт­лын со̄лтатыт ма̄гыс ӯсмат туюӈкве вуйхатсыт. ,"hauntlums autatik maizio gusmatų, jinkė voi hataseg."
47,data/AudioCorpus/Recordings/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/005_╨ó╤ï_╤ü╤â╤ü╤ü╤ï╨╗╤é╨░╨┐_╤â╤ë_╤Ç_╨┐╨╕.wav,"Ты суссылтап ущ рӯ­питаӈкве о̄вылтахтаме порат, тув ӯс мир коны­пал.","Ти журсерта уж рубит, а то у того, что не порад, то у смерков не был."
48,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/016_╨ó_╨╕╠å╤é╤ï╨│_╨╗╨░╤à╤é╤ï╨╜_╤à_╨╗╨┐╤ï╤é.wav,Тӯйтыг­лахтын хӯлпыт хо̄нтлан ма̄н ке̄тыянӯв.,төйте лахтен хул бетхонтан манке дейену.
49,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/020_╨ó_╤Å╨│_╨░╨╝_╨Ñ╨░╨╜╤é╤ï_╨£╨░╨╜╤ü╨╕╨╕╠å.wav,Тӯяг ам Ханты-Мансийск ӯсн То̄рум ма̄ музей ялсум.,to jau amhantymatis kosin mūsėjintorų maialsum.
50,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/013_╨ó╨░_╨╜_╨╝╤â╨╖╨╡╨╕╠å╨╜_╨╛_╤ü_╤à╤é╨░╨╗.wav,"Та̄н музейн о̄с ёхталэ̄­гыт, ма̄н ханты ма̄хум пе̄с о̄лупсав урыл та̄нанылн потыртэ̄в.",Tan mužīnos jauhtalīt man hantai mahtum pies olupsovorol tanunal potrīju.
51,data/AudioCorpus/Recordings/mns_440666bf-3a02-40d8-818c-99f6e67f3573/058_╨í╨░_╨▓╤ü╤ï╤Ç_╨┐╨╛╤ç_╤é╨╜╤ï╨╕╠å_╨│╤Ç╨░.wav,Са̄всыр почётный грамотал ос янытлан пищмал майвес.,Savsir počotni gramato osjenit v ono pićmo u majlis.
52,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/009_╨Ñ╨╛_╨╜╤é╨░_╤Ç╨░╨╕╠å╨╛╨╜_╨ƒ╨╛╨╗╨╛╨▓╨╕╨╜.wav,Хо̄нтаӈ район Половинка па̄вылт тамле хо̄тпат о̄с о̄лэ̄гыт.,"Хондон район половинка пау, там лихот пау солит."
53,data/AudioCorpus/Recordings/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/062_╨¥╨░╨┤╨╡╨╢╨┤╨░_╨Ü╤â╨╖╤î╨╝╨╕╨╜╨╕╤ç╨╜╨░_.wav,"Надежда Кузьминична ла̄выс, тав яныгмаме порат Шайтанка па̄вылт са̄всыр мир о̄лыс.","Na dėždai kusmieniči nalaustav, jenai mami porat, štai tam kapalcav sermil o lusta."
54,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/014__╨╜╨│╨╕╨╗╤ï╨╗_╨╜_╨│╤ï╨╗╤é╤ï╤Å╨╜_╨▓_.wav,"Ёнгилыл ён­гылтыянӯв, сосса мирыт щирыл касуӈкве ханищ­тыянӯв. ","Jongų vienvėltejė nu, sose miri čiai rūkas unkii haništejė nu."
55,data/AudioCorpus/Recordings/mns_3696732f-c891-4e0b-b306-3aa88f4c3d23/044_╨£╨░_╨╜╤î_╤ü╨░_╨╗╤ï_╨┐╤â╨▓╤â_╨║╨▓╨╡.wav,"Ма̄нь са̄лы пувуӈкве таӈхе̄­гыт ке, тыньщаӈ нёлолов ла̄кв са̄витыг со̄хтуӈкве э̄ри.","Манцалы пуң кетан кетки, түнчан нюлолы бұлак сайты соқтұ кеті."
56,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/047_╨É╨║╨▓_╨╝╨╛_╨╕╠å╤é_╤ü╤â╤ü╤ü╤ï╨╗╤é╨░╨╜_.wav,Акв мо̄йт суссылтан ма̄гсыл ос норкол по̄слысӯв.,Ako mīt susultan maizos norkol poslusu?
57,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/008_╨É╨╝_╨£╨░╨╗╨░╤Å_╨í╨╛╤ü╤î╨▓╨░_╨╜╨░╨╝╨┐.wav,Ам «Малая Сосьва» нампа заповедникыт ма̄-вит ӯргалан хо̄тпаг налыман нупыл ат та̄л рӯпитасум. ,"Ammalaie sosia nampaz apai indikyt maiviturgalan hodpai nalimannų, pal atalruuditasum."
58,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/018_╨ó╨░_╨┐╨╛╤Ç╨░╤é_╨┐╨╕╤é╨╛╨╝╨╜╨╕╨║╤ï╨│_.wav,Та порат питомникыг ла̄в­нэ кол о̄лыс.,Taporad pito unikilamnykų ulas.
59,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/026_╨ƒ╨╡_╤ü_╨┐╨╛╤Ç╨░╤é_╨╝╨░_╤à╤â╨╝_╤é╨░.wav,Пе̄с порат ма̄хум тамле хансат ӯргалахтын ма̄гсыл ю̄нтсаныл ос щуртсаныл.,Es par atmākum tam lehancet urgalochtān maizel jūts anal oschurtsāna.
60,data/AudioCorpus/Recordings/mns_440666bf-3a02-40d8-818c-99f6e67f3573/044_╨ƒ╤ï╨│╨╡_╨░╨║╨▓╨░╨│_╤Ä╨▓_╤é╨░_╤â_╤Ç.wav,Пыге акваг юв та ӯрыстэ.,бо якою та урусці.
61,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/018_╨í╨╛╨▓_╤à╤â╨╝╤â╤ü_╤é╤ï╨╜╤é╨╗╨░_╨║╨▓╨╡.wav,"Сов хумус тынтлаӈкве э̄ри, ма̄навн суссылтас. ",Salis o rumus tintlankvieri manamus susultas.
62,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/035_╨Ñ╨╛_╤é╨░╨╗_╤ì_╤é╨┐╨╛╤ü_╤ü╤ì_╤Ç╨╕╨┐.wav,"Хо̄тал, э̄тпос, сэ̄рипосыт по̄слысыт.","Вот, о леппусе и поспослась."
63,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/058_╨í╨░_╨╗╤é╨░╤é╤ï╤é_╤é╤ï_╤é╨╛_╤ü╨╗╤ï╨╝.wav,Са̄лтатыт ты то̄слым тэ̄нутын исум вит со̄се̄гыт ос та̄ра исмит тэ̄ӈкве ве̄рме̄гыт.,"Sal tadykty doslim tenutin, isun vitsose atvastara ismit ten kai vermiyti."
64,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/033_╨Ü╨╡_╤Ç_╨┐╨░_╨╜╨║╨░╨╜_╨┐╨░╤Ç╨░_╤ä╨╕.wav,"Ке̄р па̄нкан пара­фин со̄сэ̄г, тамле исвещка хоса тэ̄г.","Керпанкам парафинсосей, там лисвичка хосотей."
65,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/028_╨ó╤ï_╤ì_╨╗╤ï_╨┐╨░_╨╗╤é_╤é╨░╨╝╨╗╨╡_.wav,Ты э̄лы-па̄лт тамле ӯй «Малая Сосьва» ма̄т щар ат ва̄щиньтасӯв.,Tėlipal tam lėui malai sosiojumat šiaratvaišintasuo.
66,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/023_╨ƒ╨╡_╤ü_╨┐╨╛╤Ç╨░╤é_╤é╨░╨╝╨╗╨╡_╤â╤é_.wav,Пе̄с порат тамле ут Тромаган ма̄т о̄лнэ ханты о̄щсыт.,Bes porat tam lytra magan matonai hantai uošsit.
67,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/024_╨ó╨░_╨╜_╨£╨░_╨╜╤î_╨ó╨░_╨│╤é_╤Å_╤é.wav,"Та̄н Ма̄нь Та̄гт я̄т, Конда я̄т ос Эсс я̄т о̄лэ̄гыт. ",Tan maintaikt jā kundajāt ospres jādolīt.
68,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/061_╨ó╨╛_╨╜╤é_╤é╨╛╤é_╨╛╤é_╨║╨░╨╝╨║╨╕_╨┤.wav,То̄нт тот от камки до камакана нампа мӯйлын хо̄тал о̄лыс. ,Тонт от камки для камакана нам помолны хотолос.
69,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/011_╨ó╤ï_╤é╨░_╨╗_╨┐╨░_╨▓╨╗╤ï_╨░_╨│╨╕╤Ç.wav,Ты та̄л па̄влыӈ а̄гирищит ом пыгрищит Ӯринэ̄ква хо̄тал ос Ворщик хо̄тал янытлаӈкве во̄выгласа­нӯв.,"Ти та у Павлу на Яріщіто збирючить в Рині, як в охотал, о сворщик охотал, я не тлен півовий голосом."
70,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/063_╨₧╤ü_╤é╤ï_╤à╨╛╤ü╤ï╤é_╨Ñ╨╛_╨╜_╤é╨░_.wav,Ос ты хосыт Хо̄н­таӈ район янытыл яласэ̄гыт.,Ostīcho asit hontangrayon jānetu vjālasīt.
71,data/AudioCorpus/Recordings/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/065_╨Ñ╨░╨╜╤é╤ï_╨╜╤ì_╤ë╨░_╨╜╤î_╨╗╨░_╤é_.wav,Ханты нэ̄ ща̄нь ла̄тӈе о̄с ат ва̄гтэ. ,"Hand in the action, let me also invite him."
72,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/053_╨ƒ╨░╨▓╨╡╨╗_╨Ü╨╕╤Ç╨╕╨╗╨╗╨╛╨▓╨╕╤ç_╨▓╨╛_.wav,Павел Кириллович во̄р та̄л о̄луӈкве щар ат вēрми.,Pavel kirjūlii liviči vortavo olinkie šiara tvėjermi.
73,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/009_╨É╨╜╤î_╨║╤â_╤ë╨░╨╕╨│_╤é╨╛╤é_╨É╨╗╨╡╨║.wav,Ань кӯщаиг тот Александра Владимировна Ефимова о̄лы.,"Ань, кушай тут Александра Владимировна, и фимова Ольга."
74,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/043_╨ƒ╨╡_╤ü_╨┐╨╛╤Ç╨░╤é_╤é╨╛╤à_╨╛_╨╗╤ï╤ü.wav,Пе̄с порат тох о̄лыс.,Без поротохолы.
75,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/075_╨¥╨╕╨╜╨░_╨í╤é╨╡╨┐╨░╨╜╨╛╨▓╨╜╨░_╨ª╨╡╤à╨╜.wav,"Нина Степановна Цехнова ты рӯпатан хунь вуйхатас, районув янытыл яласас.","Ніна стіпанна цехної отерупа, танхонь війхат, асроюнув янецел Яласова."
